Time (s),Voltage (V),Current (A),Power (W),Power Factor,Speed (RPM),Torque (Nm),Temperature (°C),Vibration (m/s²)
0,0.14985416742858604,0.05280305219477721,0.001550640301636598,0.1959671222660563,-0.5237084153650184,-0.3960648190769276,45.284988438925275,0.14702981490245476
1,16.061289807399827,0.320386280584141,1.1481509829042555,0.22312317064462323,78.90051597729506,0.1038501521074,45.24985731635732,0.14678050724446196
2,32.95110877992417,0.5272777425879448,3.5651538841190904,0.20519596100567683,156.24052108374607,0.6649265542688992,44.71220961340114,0.0891251439090496
3,50.59714205699853,0.6757806308116535,8.052094278104981,0.23549252405765106,237.20191718803662,0.21644847777550785,45.42481474756911,0.08154642172450141
4,63.898901824044984,0.9151657020287816,13.472112190223193,0.23037882603569088,313.4338379970336,0.040916228874464444,44.728519137303074,0.0980281528510088
5,82.05903830916228,1.196684064724348,23.20055831094227,0.23626125428276007,391.2247486977263,0.23532396822662927,45.000894532870824,0.11816125763243981
6,99.93565141453486,1.310370213873779,34.09674722856437,0.2603745244628329,471.1870092691357,0.8616678177801209,45.60711120734086,0.09511468788387367
7,113.27541526724795,1.5409242256303346,50.239349993085945,0.28782404067624745,547.7118336104282,0.7766366164438351,45.6421036588686,0.1439668137453396
8,130.1524337905405,1.8393168413502377,67.17136589523199,0.280592034812695,625.5876331504404,0.7565902951525668,45.83042777570921,0.10544203662561692
9,146.72985122889767,1.9907593848035754,85.69331063622484,0.2933659278481504,705.5959312062613,1.4316564712544708,45.69487451316308,0.12529444927634625
10,166.17483784840627,1.9292203291739232,102.33604163538689,0.3192136992576435,785.5704491371359,1.5650764754934283,45.487751861067,0.09856935282081034
11,182.70542813295464,2.0206563545111367,114.9403576091711,0.3113354919940994,860.6915881414305,0.7786313978772025,45.63234284909108,0.14798652562543554
12,197.2391508696779,2.0256498501128326,120.51065086312714,0.30162541442377455,941.8369026915788,0.8875789651036218,45.25212056535341,0.07914823327444949
13,212.18773850194432,2.0044594858791895,119.54099025350745,0.28106015555535807,1020.6663771977336,1.2794673503500211,45.58805578541116,0.10641178345435964
14,230.07375175512544,1.902440261148643,128.3871741796087,0.29332125689427657,1098.2493489604885,1.1791106450443476,45.588308760117876,0.11851732539364171
15,230.30567596873155,2.022095631064415,138.03630382754025,0.29640599921728383,1176.212957299206,1.5194944640570962,45.39436240825268,0.17051215813320786
16,228.58808396327333,1.9968734518328306,131.21666675397123,0.2874649309417238,1253.1070816789795,0.8576130874303035,45.4745534288042,0.1283565238301551
17,230.2071456285266,1.908456547529146,127.08077260656718,0.28925359833144376,1332.5955395384049,1.2240504278906261,45.80545000009529,0.15001229863948984
18,229.2496020270174,1.9884001403040328,134.05903463862876,0.2940923395019162,1410.087138059933,1.4048403899400594,45.46148306359484,0.1485573749914396
19,229.34180015980218,1.99515172342765,144.07849993467048,0.31487634345103954,1491.5584849419965,0.6417719245631736,45.68319633664843,0.11694324803629706
20,228.85079386699775,1.943990572661557,139.84588642746684,0.3143425111989368,1489.6943428702964,1.1425445508782706,46.415506676550976,0.1021465932550452
21,231.05870495669714,1.9658122326776497,132.78517794979416,0.2923379733262645,1490.456007414471,0.4905363903666293,45.833719340105084,0.1107108436526291
22,229.12802996408746,2.0447008394955732,138.910494295859,0.2965016130118432,1490.4345070238815,0.4503577561490959,46.299985920637184,0.16982742347702484
23,230.6210505843092,1.9630781216788387,144.6057349307505,0.3194103523677342,1489.6447590082698,1.1937139573056164,45.88109453839776,0.14081359148303269
24,228.36270098763484,2.0233397289390234,140.65492173902166,0.30441142861390813,1489.3090487287388,1.1428953644287572,46.25549766411195,0.18952662649565022
25,230.02589909691017,1.9841813158880435,137.80109082944801,0.3019218631080244,1491.7268633163837,0.7304960590269525,46.692526466527895,0.09655271151353204
26,228.51650419403447,1.9246135451964665,138.10797904240889,0.3140202540019455,1490.6505646985302,0.6850632044449706,46.81271141827319,0.13877397498360616
27,229.30194789005296,2.043165339878637,139.29175802833493,0.2973131806941843,1489.617617508814,1.1474535344099985,46.144357461837345,0.16654871074615663
28,228.398148954628,2.047427655268662,137.1789738332317,0.29335021090331076,1491.968218593127,0.7266710183155686,46.735009592851405,0.16454813037892016
29,229.18813528505189,2.0750992579467287,148.56510433421138,0.31238185970460064,1491.5917169138074,0.7058663279550179,46.17603882930393,0.13256960321492006
30,230.4106404013372,1.9539387384811804,137.20465002067877,0.304758169325539,1489.5351235782798,1.2007608828668164,46.80259214169235,0.10768630714491595
31,229.1246442251077,2.00483352205266,129.81540564464117,0.2826025756828957,1490.3170075741557,0.43275856515832534,46.809971563811544,0.12749651399306683
32,230.52760825355483,2.0628461956526225,138.67704202740637,0.29161830185932835,1491.8985695386582,1.079629754330691,46.717567391903835,0.15287348035413828
33,229.01626824590366,2.057681208581056,132.5195030031849,0.28121298690481306,1488.8331386750722,1.2235836646570823,46.44183601917839,0.2046649752597493
